File,aid,Date,2116,2120,2122,2124,2185,2189,2190,2261,3154,3158,3162,3222,3226
_250m_16_days_VI_Quality_2014353_aid0001,aid0001,2014-12-19 00:00:00+00:00,3103.0,,,,124.0,,,,,,,,
_250m_16_days_VI_Quality_2015001_aid0001,aid0001,2015-01-01 00:00:00+00:00,3151.0,,,,76.0,,,,,,,,
_250m_16_days_VI_Quality_2015017_aid0001,aid0001,2015-01-17 00:00:00+00:00,3223.0,4.0,,,,,,,,,,,
_250m_16_days_VI_Quality_2015033_aid0001,aid0001,2015-02-02 00:00:00+00:00,3123.0,88.0,,,16.0,,,,,,,,
_250m_16_days_VI_Quality_2015049_aid0001,aid0001,2015-02-18 00:00:00+00:00,3227.0,,,,,,,,,,,,
_250m_16_days_VI_Quality_2015065_aid0001,aid0001,2015-03-06 00:00:00+00:00,3107.0,4.0,,,116.0,,,,,,,,
_250m_16_days_VI_Quality_2015081_aid0001,aid0001,2015-03-22 00:00:00+00:00,3195.0,12.0,,,20.0,,,,,,,,
_250m_16_days_VI_Quality_2015097_aid0001,aid0001,2015-04-07 00:00:00+00:00,3207.0,,,,20.0,,,,,,,,
_250m_16_days_VI_Quality_2015113_aid0001,aid0001,2015-04-23 00:00:00+00:00,3143.0,4.0,,,80.0,,,,,,,,
_250m_16_days_VI_Quality_2015129_aid0001,aid0001,2015-05-09 00:00:00+00:00,3167.0,,,,60.0,,,,,,,,
_250m_16_days_VI_Quality_2015145_aid0001,aid0001,2015-05-25 00:00:00+00:00,2971.0,,,,256.0,,,,,,,,
_250m_16_days_VI_Quality_2015161_aid0001,aid0001,2015-06-10 00:00:00+00:00,3147.0,4.0,,,76.0,,,,,,,,
_250m_16_days_VI_Quality_2015177_aid0001,aid0001,2015-06-26 00:00:00+00:00,3215.0,,,,12.0,,,,,,,,
_250m_16_days_VI_Quality_2015193_aid0001,aid0001,2015-07-12 00:00:00+00:00,3163.0,,,,64.0,,,,,,,,
_250m_16_days_VI_Quality_2015209_aid0001,aid0001,2015-07-28 00:00:00+00:00,3203.0,,,,24.0,,,,,,,,
_250m_16_days_VI_Quality_2015225_aid0001,aid0001,2015-08-13 00:00:00+00:00,3207.0,4.0,,,16.0,,,,,,,,
_250m_16_days_VI_Quality_2015241_aid0001,aid0001,2015-08-29 00:00:00+00:00,3171.0,,,,56.0,,,,,,,,
_250m_16_days_VI_Quality_2015257_aid0001,aid0001,2015-09-14 00:00:00+00:00,3227.0,,,,,,,,,,,,
_250m_16_days_VI_Quality_2015273_aid0001,aid0001,2015-09-30 00:00:00+00:00,3003.0,,,,224.0,,,,,,,,
_250m_16_days_VI_Quality_2015289_aid0001,aid0001,2015-10-16 00:00:00+00:00,2995.0,72.0,,,160.0,,,,,,,,
_250m_16_days_VI_Quality_2015305_aid0001,aid0001,2015-11-01 00:00:00+00:00,2879.0,,,,348.0,,,,,,,,
_250m_16_days_VI_Quality_2015321_aid0001,aid0001,2015-11-17 00:00:00+00:00,3127.0,,,,100.0,,,,,,,,
_250m_16_days_VI_Quality_2015337_aid0001,aid0001,2015-12-03 00:00:00+00:00,3179.0,,,,48.0,,,,,,,,
_250m_16_days_VI_Quality_2015353_aid0001,aid0001,2015-12-19 00:00:00+00:00,2719.0,,,,508.0,,,,,,,,
_250m_16_days_VI_Quality_2016001_aid0001,aid0001,2016-01-01 00:00:00+00:00,3223.0,,,,4.0,,,,,,,,
_250m_16_days_VI_Quality_2016017_aid0001,aid0001,2016-01-17 00:00:00+00:00,2483.0,,,,744.0,,,,,,,,
_250m_16_days_VI_Quality_2016033_aid0001,aid0001,2016-02-02 00:00:00+00:00,2660.0,495.0,,,72.0,,,,,,,,
_250m_16_days_VI_Quality_2016049_aid0001,aid0001,2016-02-18 00:00:00+00:00,2102.0,588.0,,,328.0,209.0,,,,,,,
_250m_16_days_VI_Quality_2016065_aid0001,aid0001,2016-03-05 00:00:00+00:00,2967.0,4.0,,,256.0,,,,,,,,
_250m_16_days_VI_Quality_2016081_aid0001,aid0001,2016-03-21 00:00:00+00:00,3075.0,,,,152.0,,,,,,,,
_250m_16_days_VI_Quality_2016097_aid0001,aid0001,2016-04-06 00:00:00+00:00,2891.0,,,,336.0,,,,,,,,
_250m_16_days_VI_Quality_2016113_aid0001,aid0001,2016-04-22 00:00:00+00:00,3095.0,,,,132.0,,,,,,,,
_250m_16_days_VI_Quality_2016129_aid0001,aid0001,2016-05-08 00:00:00+00:00,3175.0,,,,52.0,,,,,,,,
_250m_16_days_VI_Quality_2016145_aid0001,aid0001,2016-05-24 00:00:00+00:00,3199.0,,,,28.0,,,,,,,,
_250m_16_days_VI_Quality_2016161_aid0001,aid0001,2016-06-09 00:00:00+00:00,3191.0,,,,36.0,,,,,,,,
_250m_16_days_VI_Quality_2016177_aid0001,aid0001,2016-06-25 00:00:00+00:00,3175.0,,,,52.0,,,,,,,,
_250m_16_days_VI_Quality_2016193_aid0001,aid0001,2016-07-11 00:00:00+00:00,3227.0,,,,,,,,,,,,
_250m_16_days_VI_Quality_2016209_aid0001,aid0001,2016-07-27 00:00:00+00:00,3207.0,,,,20.0,,,,,,,,
_250m_16_days_VI_Quality_2016225_aid0001,aid0001,2016-08-12 00:00:00+00:00,3095.0,,,,132.0,,,,,,,,
_250m_16_days_VI_Quality_2016241_aid0001,aid0001,2016-08-28 00:00:00+00:00,3227.0,,,,,,,,,,,,
_250m_16_days_VI_Quality_2016257_aid0001,aid0001,2016-09-13 00:00:00+00:00,3203.0,,,,24.0,,,,,,,,
_250m_16_days_VI_Quality_2016273_aid0001,aid0001,2016-09-29 00:00:00+00:00,3227.0,,,,,,,,,,,,
_250m_16_days_VI_Quality_2016289_aid0001,aid0001,2016-10-15 00:00:00+00:00,3194.0,4.0,,,29.0,,,,,,,,
