File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2014353000000_aid0001,_250m_16_days_NDVI,aid0001,2014-12-19,3227.0,0.0441,0.2951,"(0.0441,0.2951)",0.1027299,0.0271335,0.0007362,0.1091,0.1427,0.0962,0.0548,0.0867
MOD13Q1_061__250m_16_days_NDVI_doy2015001000000_aid0001,_250m_16_days_NDVI,aid0001,2015-01-01,3227.0,0.0396,0.3321,"(0.0396,0.3321)",0.1005078,0.0276029,0.0007619,0.107,0.1412,0.0947,0.052,0.0841
MOD13Q1_061__250m_16_days_NDVI_doy2015017000000_aid0001,_250m_16_days_NDVI,aid0001,2015-01-17,3227.0,0.0468,0.2899,"(0.0468,0.2899)",0.102131,0.0269446,0.000726,0.1087,0.1417,0.0958,0.0537,0.0864
MOD13Q1_061__250m_16_days_NDVI_doy2015033000000_aid0001,_250m_16_days_NDVI,aid0001,2015-02-02,3227.0,0.0438,0.3458,"(0.0438,0.3458)",0.1002759,0.0259098,0.0006713,0.1059,0.1366,0.0954,0.0548,0.0854
MOD13Q1_061__250m_16_days_NDVI_doy2015049000000_aid0001,_250m_16_days_NDVI,aid0001,2015-02-18,3227.0,0.0254,0.3478,"(0.0254,0.3478)",0.1030416,0.0263398,0.0006938,0.10915,0.1407,0.0981,0.0566,0.088
MOD13Q1_061__250m_16_days_NDVI_doy2015065000000_aid0001,_250m_16_days_NDVI,aid0001,2015-03-06,3227.0,0.0483,0.3866,"(0.0483,0.3866)",0.1031761,0.0250465,0.0006273,0.1087,0.139,0.0988,0.059,0.0885
MOD13Q1_061__250m_16_days_NDVI_doy2015081000000_aid0001,_250m_16_days_NDVI,aid0001,2015-03-22,3227.0,0.0492,0.3724,"(0.0492,0.3724)",0.1013328,0.0258755,0.0006695,0.1056,0.1335,0.0954,0.0591,0.0867
MOD13Q1_061__250m_16_days_NDVI_doy2015097000000_aid0001,_250m_16_days_NDVI,aid0001,2015-04-07,3227.0,0.0539,0.3248,"(0.0539,0.3248)",0.1053298,0.026479,0.0007011,0.1117,0.1443,0.1002,0.0572,0.0899
MOD13Q1_061__250m_16_days_NDVI_doy2015113000000_aid0001,_250m_16_days_NDVI,aid0001,2015-04-23,3227.0,0.0509,0.3616,"(0.0509,0.3616)",0.102847,0.0263305,0.0006933,0.109,0.1412,0.0967,0.0572,0.08745
MOD13Q1_061__250m_16_days_NDVI_doy2015129000000_aid0001,_250m_16_days_NDVI,aid0001,2015-05-09,3227.0,0.0501,0.3257,"(0.0501,0.3257)",0.1044562,0.0270727,0.0007329,0.10995,0.1413,0.0984,0.0575,0.0887
MOD13Q1_061__250m_16_days_NDVI_doy2015145000000_aid0001,_250m_16_days_NDVI,aid0001,2015-05-25,3227.0,0.0507,0.3162,"(0.0507,0.3162)",0.1043502,0.0272155,0.0007407,0.109,0.1382,0.0985,0.0605,0.0894
MOD13Q1_061__250m_16_days_NDVI_doy2015161000000_aid0001,_250m_16_days_NDVI,aid0001,2015-06-10,3227.0,0.0506,0.3251,"(0.0506,0.3251)",0.1056041,0.0304056,0.0009245,0.1122,0.1482,0.0969,0.055,0.0882
MOD13Q1_061__250m_16_days_NDVI_doy2015177000000_aid0001,_250m_16_days_NDVI,aid0001,2015-06-26,3227.0,0.0494,0.3557,"(0.0494,0.3557)",0.105693,0.0316622,0.0010025,0.1115,0.1473,0.0967,0.0524,0.08755
MOD13Q1_061__250m_16_days_NDVI_doy2015193000000_aid0001,_250m_16_days_NDVI,aid0001,2015-07-12,3227.0,0.0516,0.3384,"(0.0516,0.3384)",0.1078632,0.0300049,0.0009003,0.11305,0.1464,0.0993,0.0587,0.0908
MOD13Q1_061__250m_16_days_NDVI_doy2015209000000_aid0001,_250m_16_days_NDVI,aid0001,2015-07-28,3227.0,0.0566,0.3489,"(0.0566,0.3489)",0.1101688,0.0288436,0.000832,0.1153,0.1475,0.1022,0.0615,0.0936
MOD13Q1_061__250m_16_days_NDVI_doy2015225000000_aid0001,_250m_16_days_NDVI,aid0001,2015-08-13,3227.0,0.0512,0.3306,"(0.0512,0.3306)",0.1053179,0.0292796,0.0008573,0.11085,0.1445,0.0966,0.0577,0.0884
MOD13Q1_061__250m_16_days_NDVI_doy2015241000000_aid0001,_250m_16_days_NDVI,aid0001,2015-08-29,3227.0,0.0564,0.3356,"(0.0564,0.3356)",0.1047357,0.0283,0.0008009,0.11105,0.1451,0.0959,0.0564,0.08825
MOD13Q1_061__250m_16_days_NDVI_doy2015257000000_aid0001,_250m_16_days_NDVI,aid0001,2015-09-14,3227.0,0.0542,0.4,"(0.0542,0.4)",0.1072782,0.0289143,0.000836,0.113,0.1468,0.0985,0.0586,0.0903
MOD13Q1_061__250m_16_days_NDVI_doy2015273000000_aid0001,_250m_16_days_NDVI,aid0001,2015-09-30,3227.0,0.0528,0.332,"(0.0528,0.332)",0.1073518,0.0300637,0.0009038,0.11505,0.1522,0.0976,0.0528,0.09
MOD13Q1_061__250m_16_days_NDVI_doy2015289000000_aid0001,_250m_16_days_NDVI,aid0001,2015-10-16,3227.0,0.0484,0.3596,"(0.0484,0.3596)",0.1049021,0.0293196,0.0008596,0.11175,0.147,0.0959,0.0534,0.0881
MOD13Q1_061__250m_16_days_NDVI_doy2015305000000_aid0001,_250m_16_days_NDVI,aid0001,2015-11-01,3227.0,0.0471,0.6847,"(0.0471,0.6847)",0.108189,0.033016,0.0010901,0.1174,0.1591,0.099,0.0544,0.0893
MOD13Q1_061__250m_16_days_NDVI_doy2015321000000_aid0001,_250m_16_days_NDVI,aid0001,2015-11-17,3227.0,0.0524,0.3308,"(0.0524,0.3308)",0.1069308,0.0296338,0.0008782,0.1153,0.154,0.0978,0.0524,0.0895
MOD13Q1_061__250m_16_days_NDVI_doy2015337000000_aid0001,_250m_16_days_NDVI,aid0001,2015-12-03,3227.0,0.0464,0.3333,"(0.0464,0.3333)",0.1065403,0.029243,0.0008552,0.113,0.1481,0.0989,0.0561,0.0895
MOD13Q1_061__250m_16_days_NDVI_doy2015353000000_aid0001,_250m_16_days_NDVI,aid0001,2015-12-19,3227.0,0.0437,0.3281,"(0.0437,0.3281)",0.105187,0.0302714,0.0009164,0.1153,0.1584,0.0957,0.0437,0.0865
MOD13Q1_061__250m_16_days_NDVI_doy2016001000000_aid0001,_250m_16_days_NDVI,aid0001,2016-01-01,3227.0,0.04,0.3585,"(0.04,0.3585)",0.1020622,0.0291412,0.0008492,0.10945,0.1458,0.0943,0.0505,0.0851
MOD13Q1_061__250m_16_days_NDVI_doy2016017000000_aid0001,_250m_16_days_NDVI,aid0001,2016-01-17,3227.0,0.0392,0.3583,"(0.0392,0.3583)",0.1039152,0.0296212,0.0008774,0.1142,0.1565,0.0952,0.0485,0.0856
MOD13Q1_061__250m_16_days_NDVI_doy2016033000000_aid0001,_250m_16_days_NDVI,aid0001,2016-02-02,3227.0,0.0419,0.4077,"(0.0419,0.4077)",0.101353,0.0275556,0.0007593,0.10925,0.1445,0.0947,0.0507,0.0857
MOD13Q1_061__250m_16_days_NDVI_doy2016049000000_aid0001,_250m_16_days_NDVI,aid0001,2016-02-18,3227.0,0.0326,0.3935,"(0.0326,0.3935)",0.0963644,0.0245364,0.000602,0.1039,0.1363,0.0904,0.0498,0.0822
MOD13Q1_061__250m_16_days_NDVI_doy2016065000000_aid0001,_250m_16_days_NDVI,aid0001,2016-03-05,3227.0,0.0486,0.4733,"(0.0486,0.4733)",0.1004916,0.0252411,0.0006371,0.1084,0.1425,0.0942,0.0527,0.0856
MOD13Q1_061__250m_16_days_NDVI_doy2016081000000_aid0001,_250m_16_days_NDVI,aid0001,2016-03-21,3227.0,0.0394,0.4283,"(0.0394,0.4283)",0.1017061,0.0258994,0.0006708,0.1075,0.1387,0.0955,0.0558,0.0867
MOD13Q1_061__250m_16_days_NDVI_doy2016097000000_aid0001,_250m_16_days_NDVI,aid0001,2016-04-06,3227.0,0.046,0.3526,"(0.046,0.3526)",0.1025685,0.0270159,0.0007299,0.11065,0.1472,0.0952,0.0518,0.08615
